iter	Passed	Remaining
0	58	11723
1	59	5876
2	59	3920
3	60	2942
4	60	2356
5	60	1962
6	60	1681
7	61	1470
8	61	1308
9	61	1177
10	62	1070
11	62	981
12	63	908
13	63	847
14	64	792
15	64	743
16	64	699
17	65	659
18	65	624
19	65	592
20	66	564
21	66	537
22	66	514
23	67	492
24	67	471
25	67	453
26	68	436
27	68	419
28	68	405
29	69	393
30	70	381
31	70	369
32	70	358
33	71	346
34	71	336
35	71	326
36	72	317
37	72	308
38	72	300
39	73	292
40	73	286
41	74	279
42	74	272
43	74	265
44	75	258
45	75	252
46	75	246
47	76	240
48	76	235
49	76	229
50	76	224
51	77	219
52	77	214
53	77	210
54	78	205
55	78	201
56	78	197
57	78	193
58	79	189
59	79	185
60	79	182
61	80	179
62	80	175
63	81	172
64	82	170
65	82	167
66	82	164
67	83	161
68	83	158
69	83	155
70	84	153
71	84	150
72	84	147
73	85	145
74	85	142
75	85	140
76	86	137
77	86	135
78	86	133
79	87	130
80	87	128
81	87	126
82	88	124
83	88	122
84	88	120
85	89	118
86	89	116
87	90	114
88	90	113
89	91	111
90	91	110
91	92	108
92	92	106
93	92	104
94	93	102
95	93	101
96	93	99
97	94	97
98	94	96
99	94	94
100	94	93
101	95	91
102	95	89
103	95	88
104	98	88
105	98	87
106	98	85
107	99	84
108	99	82
109	99	81
110	99	80
111	100	79
112	101	77
113	101	76
114	101	75
115	101	73
116	102	72
117	102	71
118	102	70
119	103	68
120	103	67
121	104	66
122	104	65
123	104	64
124	105	63
125	105	61
126	105	60
127	106	59
128	106	58
129	106	57
130	107	56
131	107	55
132	108	54
133	108	53
134	108	52
135	109	51
136	109	50
137	109	49
138	110	48
139	110	47
140	110	46
141	111	45
142	111	44
143	111	43
144	112	42
145	112	41
146	112	40
147	113	39
148	114	39
149	114	38
150	114	37
151	115	36
152	115	35
153	115	34
154	116	33
155	116	32
156	116	32
157	117	31
158	117	30
159	117	29
160	118	28
161	118	27
162	118	27
163	119	26
164	119	25
165	120	24
166	120	23
167	120	23
168	121	22
169	121	21
170	121	20
171	122	19
172	122	19
173	122	18
174	123	17
175	123	16
176	123	16
177	123	15
178	124	14
179	124	13
180	124	13
181	125	12
182	125	11
183	125	10
184	126	10
185	126	9
186	126	8
187	127	8
188	127	7
189	127	6
190	128	6
191	128	5
192	129	4
193	129	4
194	130	3
195	130	2
196	130	1
197	130	1
198	131	0
199	131	0
